n,presentacion,genero_aparente
df_000,persona,mujer
df_001,persona,mujer
df_002,persona,mujer
df_003,persona,mujer
df_004,persona,mujer
df_005,persona,mujer
df_006,persona,mujer
df_007,persona,mujer
df_008,persona,mujer
df_009,persona,hombre
df_010,persona,mujer
df_011,persona,mujer
df_012,colgada,ambiguo
df_013,persona,hombre
df_014,persona,mujer
df_015,persona,mujer
df_016,persona,mujer
df_017,persona,mujer
df_018,persona,mujer
df_019,plana,mujer
df_020,colgada,mujer
df_021,persona,mujer
df_022,persona,hombre
df_023,plana,mujer
df_024,persona,mujer
df_025,persona,hombre
df_026,persona,mujer
df_027,colgada,mujer
df_028,persona,mujer
df_029,persona,mujer
df_030,plana,ambiguo
df_031,persona,mujer
df_032,persona,mujer
df_033,persona,mujer
df_034,persona,hombre
df_035,persona,mujer
df_036,persona,mujer
df_037,persona,mujer
df_038,persona,mujer
df_039,persona,mujer
df_040,persona,mujer
df_041,persona,mujer
df_042,persona,mujer
df_043,persona,mujer
df_044,persona,hombre
df_045,persona,mujer
df_046,persona,mujer
df_047,persona,mujer
df_048,persona,mujer
df_049,persona,mujer
df_050,persona,mujer
df_051,persona,mujer
df_052,persona,mujer
df_053,persona,mujer
df_054,persona,mujer
df_055,persona,hombre
df_056,persona,mujer
df_057,persona,mujer
df_058,persona,mujer
df_059,persona,mujer
df_060,persona,mujer
df_061,persona,mujer
df_062,persona,mujer
df_063,persona,mujer
df_064,persona,mujer
df_065,persona,mujer
df_066,persona,mujer
df_067,persona,mujer
df_068,persona,mujer
df_069,persona,mujer
df_070,persona,mujer
df_071,persona,mujer
df_072,persona,mujer
df_073,persona,mujer
df_074,colgada,mujer
df_075,persona,mujer
df_076,persona,mujer
df_077,persona,mujer
df_078,persona,mujer
df_079,persona,mujer
df_080,persona,mujer
df_081,plana,ambiguo
df_082,persona,mujer
df_083,persona,mujer
df_084,persona,mujer
df_085,persona,infantil
df_086,persona,mujer
df_087,persona,mujer
df_088,persona,mujer
df_089,persona,mujer
df_090,persona,mujer
df_091,persona,mujer
df_092,plana,mujer
df_093,plana,mujer
df_094,persona,mujer
df_095,persona,mujer
df_096,persona,mujer
df_097,persona,mujer
df_098,persona,mujer
df_099,plana,mujer
