n,image_path,categoria,presentacion,genero_aparente
df_000,img/Geo_Tribal_Print_Muscle_Tee/img_00000020.jpg,Tee,persona,mujer
df_001,img/Drawstring_Joggers/img_00000012.jpg,Joggers,persona,mujer
df_002,img/Reason_Statue_of_Liberty_Mesh_Tank/img_00000011.jpg,Tank,persona,mujer
df_003,img/Heathered_Striped_Cardigan/img_00000018.jpg,Cardigan,persona,mujer
df_004,img/Heathered_Frida_Kahlo_Tee/img_00000030.jpg,Tee,persona,mujer
df_005,img/LEEF_PARIS_Lightning_Graphic_Drawstring_Shorts/img_00000042.jpg,Shorts,persona,mujer
df_006,img/Van_Halen_Cutout_Muscle_Tee/img_00000001.jpg,Tee,persona,mujer
df_007,img/Dot-Patterned_Tank/img_00000029.jpg,Tank,persona,mujer
df_008,img/Vented_Back_Tank/img_00000023.jpg,Tank,persona,mujer
df_009,img/Rugby_Striped_Sweater/img_00000008.jpg,Sweater,persona,hombre
df_010,img/Cable_Knit_Dolman_Cardigan/img_00000046.jpg,Cardigan,persona,mujer
df_011,img/Knit_Dolman_Cardigan/img_00000004.jpg,Cardigan,persona,mujer
df_012,img/Geo_Print_Dolman_Tee/img_00000011.jpg,Tee,colgada,ambiguo
df_013,img/Watercolor_Tribal_Print_Shorts/img_00000006.jpg,Shorts,persona,hombre
df_014,img/Eyelash_Knit_Ball_Sweater/img_00000002.jpg,Sweater,persona,mujer
df_015,img/Ribbed_Knit_Sweater/img_00000014.jpg,Sweater,persona,mujer
df_016,img/Distressed_Bleach_Wash_Denim_Shorts/img_00000012.jpg,Shorts,persona,mujer
df_017,img/Chiffon_Longline_Halter_Top/img_00000009.jpg,Top,persona,mujer
df_018,img/Sanded_Wash_Denim_Joggers/img_00000003.jpg,Joggers,persona,mujer
df_019,img/Crochet_Trim_Tribal_Print_Shorts/img_00000032.jpg,Shorts,plana,mujer
df_020,img/Abstract_Print_Colorblock_Top/img_00000044.jpg,Top,colgada,mujer
df_021,img/Southwestern-Patterned_Shorts/img_00000017.jpg,Shorts,persona,mujer
df_022,img/Rope-Drawstring_Swim_Trunks/img_00000044.jpg,Trunks,persona,hombre
df_023,img/Tassel_Fringe_Knit_Sweater/img_00000035.jpg,Sweater,plana,mujer
df_024,img/Varsity-Striped_Scuba_Knit_Jacket/img_00000001.jpg,Jacket,persona,mujer
df_025,img/Distressed_Light_Wash_-_Slim_Fit_Jeans/img_00000060.jpg,Jeans,persona,hombre
df_026,img/Clean_Wash_-_Ripped_Slim-Leg_Jeans/img_00000038.jpg,Jeans,persona,mujer
df_027,img/Abstract_Paisley_Button-Down_Top/img_00000003.jpg,Top,colgada,mujer
df_028,img/Marled_Knit_Joggers/img_00000012.jpg,Joggers,persona,mujer
df_029,img/Tokyo_Ringer_Tee/img_00000018.jpg,Tee,persona,mujer
df_030,img/Classic_Ribbed_Top/img_00000008.jpg,Top,plana,ambiguo
df_031,img/Marled_Crochet-Paneled_Sweater/img_00000016.jpg,Sweater,persona,mujer
df_032,img/Rive_Gauche_Ringer_Tee/img_00000007.jpg,Tee,persona,mujer
df_033,img/Life_in_Progress_Denim_Jacket/img_00000002.jpg,Jacket,persona,mujer
df_034,img/Longline_V-Neck_Tee/img_00000019.jpg,Tee,persona,hombre
df_035,img/Abstract_Striped_Muscle_Tee/img_00000019.jpg,Tee,persona,mujer
df_036,img/Pintucked_High-Waisted_Shorts/img_00000042.jpg,Shorts,persona,mujer
df_037,img/Colorblock_Performance_Shorts/img_00000018.jpg,Shorts,persona,mujer
df_038,img/Boho_Babe_Crochet_Top/img_00000019.jpg,Top,persona,mujer
df_039,img/Life_In_Progress_Railroad_Stripe_Jeans/img_00000013.jpg,Jeans,persona,mujer
df_040,img/Standout_Americana_Sweater/img_00000018.jpg,Sweater,persona,mujer
df_041,img/Distressed_Whisker_Wash_Jeans/img_00000034.jpg,Jeans,persona,mujer
df_042,img/MYVL_Woke_Up_Muscle_Tee/img_00000002.jpg,Tee,persona,mujer
df_043,img/Faux_Leather-Sleeve_Marled_Jacket/img_00000041.jpg,Jacket,persona,mujer
df_044,img/Heathered_Colorblock_Pocket_Tank/img_00000017.jpg,Tank,persona,hombre
df_045,img/Hooded_Asymmetrical_Longline_Jacket/img_00000001.jpg,Jacket,persona,mujer
