n,image_path,categoria
df_000,img/Geo_Tribal_Print_Muscle_Tee/img_00000020.jpg,Tee
df_001,img/Drawstring_Joggers/img_00000012.jpg,Joggers
df_002,img/Reason_Statue_of_Liberty_Mesh_Tank/img_00000011.jpg,Tank
df_003,img/Heathered_Striped_Cardigan/img_00000018.jpg,Cardigan
df_004,img/Heathered_Frida_Kahlo_Tee/img_00000030.jpg,Tee
df_005,img/LEEF_PARIS_Lightning_Graphic_Drawstring_Shorts/img_00000042.jpg,Shorts
df_006,img/Van_Halen_Cutout_Muscle_Tee/img_00000001.jpg,Tee
df_007,img/Dot-Patterned_Tank/img_00000029.jpg,Tank
df_008,img/Vented_Back_Tank/img_00000023.jpg,Tank
df_009,img/Rugby_Striped_Sweater/img_00000008.jpg,Sweater
df_010,img/Cable_Knit_Dolman_Cardigan/img_00000046.jpg,Cardigan
df_011,img/Knit_Dolman_Cardigan/img_00000004.jpg,Cardigan
df_012,img/Geo_Print_Dolman_Tee/img_00000011.jpg,Tee
df_013,img/Watercolor_Tribal_Print_Shorts/img_00000006.jpg,Shorts
df_014,img/Eyelash_Knit_Ball_Sweater/img_00000002.jpg,Sweater
df_015,img/Ribbed_Knit_Sweater/img_00000014.jpg,Sweater
df_016,img/Distressed_Bleach_Wash_Denim_Shorts/img_00000012.jpg,Shorts
df_017,img/Chiffon_Longline_Halter_Top/img_00000009.jpg,Top
df_018,img/Sanded_Wash_Denim_Joggers/img_00000003.jpg,Joggers
df_019,img/Crochet_Trim_Tribal_Print_Shorts/img_00000032.jpg,Shorts
df_020,img/Abstract_Print_Colorblock_Top/img_00000044.jpg,Top
df_021,img/Southwestern-Patterned_Shorts/img_00000017.jpg,Shorts
df_022,img/Rope-Drawstring_Swim_Trunks/img_00000044.jpg,Trunks
df_023,img/Tassel_Fringe_Knit_Sweater/img_00000035.jpg,Sweater
df_024,img/Varsity-Striped_Scuba_Knit_Jacket/img_00000001.jpg,Jacket
df_025,img/Distressed_Light_Wash_-_Slim_Fit_Jeans/img_00000060.jpg,Jeans
df_026,img/Clean_Wash_-_Ripped_Slim-Leg_Jeans/img_00000038.jpg,Jeans
df_027,img/Abstract_Paisley_Button-Down_Top/img_00000003.jpg,Top
df_028,img/Marled_Knit_Joggers/img_00000012.jpg,Joggers
df_029,img/Tokyo_Ringer_Tee/img_00000018.jpg,Tee
