n,image_path,categoria
dg_000,img/Be_True_Graphic_Tunic_Tank/img_00000006.jpg,Tank
dg_001,img/Geo_Elephant_Print_Tee/img_00000021.jpg,Tee
dg_002,img/MYVL_Woke_Up_Muscle_Tee/img_00000005.jpg,Tee
dg_003,img/Classic_Slim-Leg_Jeans/img_00000046.jpg,Jeans
dg_004,img/Wutever_Pocket_Tee/img_00000003.jpg,Tee
dg_005,img/Drawstring_Palm_Print_Shorts/img_00000003.jpg,Shorts
dg_006,img/Quilted_Faux_Leather_Jacket/img_00000011.jpg,Jacket
dg_007,img/Island_Pineapple_Knit_Tee/img_00000006.jpg,Tee
dg_008,img/Reason_Woke_Up_Like_This_Tee/img_00000006.jpg,Tee
dg_009,img/Woven_Open-Front_Blazer/img_00000106.jpg,Blazer
dg_010,img/Patch_Pocket_Denim_Tee/img_00000015.jpg,Tee
dg_011,img/Sanded_Wash_Denim_Joggers/img_00000022.jpg,Joggers
dg_012,img/Tasseled_Tribal_Print_Cardigan/img_00000030.jpg,Cardigan
dg_013,img/Drawstring_Palm_Print_Shorts/img_00000009.jpg,Shorts
dg_014,img/No_Way_Baseball_Tee/img_00000025.jpg,Tee
dg_015,img/Contrast-Trimmed_Drawstring_Sweatshorts/img_00000031.jpg,Sweatshorts
dg_016,img/Faded_Floral_Print_Tank/img_00000005.jpg,Tank
dg_017,img/Colorblock_Tie-Dye_Tank/img_00000023.jpg,Tank
dg_018,img/Open-Knit_Cropped_Sweater/img_00000002.jpg,Sweater
dg_019,img/Open-Front_Multi-Stripe_Cardigan/img_00000011.jpg,Cardigan
dg_020,img/Striped_Linen-Blend_Shorts/img_00000003.jpg,Shorts
dg_021,img/High_Collar_Running_Jacket/img_00000040.jpg,Jacket
dg_022,img/Triangle-Patterned_Slub_Knit_Tee/img_00000019.jpg,Tee
dg_023,img/Varsity_Dreamer_Graphic_Tee/img_00000016.jpg,Tee
dg_024,img/Allergic_2_Mornings_Tank/img_00000008.jpg,Tank
dg_025,img/Classic_Trapeze_Tank/img_00000044.jpg,Tank
dg_026,img/Slub_Knit_Pocket_Tee/img_00000036.jpg,Tee
dg_027,img/Colorblock_Performance_Shorts/img_00000026.jpg,Shorts
dg_028,img/Textured_Knit_Open-Front_Cardigan/img_00000004.jpg,Cardigan
dg_029,img/Drapey_Mandala_Print_Cardigan/img_00000020.jpg,Cardigan
dg_030,img/Tribal_Print_Linen_Shorts/img_00000013.jpg,Shorts
dg_031,img/Married_To_The_Mob_Feminist_Tank/img_00000035.jpg,Tank
dg_032,img/Patch_Pocket_Denim_Tee/img_00000036.jpg,Tee
dg_033,img/Heathered_Frida_Kahlo_Tee/img_00000012.jpg,Tee
dg_034,img/Textured_Boyfriend_Blazer/img_00000096.jpg,Blazer
dg_035,img/Sky_Culture_Kid_Cloud_Stars_Tee/img_00000007.jpg,Tee
dg_036,img/Vented_Back_Tank/img_00000009.jpg,Tank
dg_037,img/Vented_Back_Tank/img_00000004.jpg,Tank
dg_038,img/Micro-Striped_Pocket_Tank/img_00000001.jpg,Tank
dg_039,img/Classic_Slim-Leg_Jeans/img_00000056.jpg,Jeans
dg_040,img/Striped_Boxy_Sweater/img_00000020.jpg,Sweater
dg_041,img/Boho_Suite_Peasant_Top/img_00000018.jpg,Top
dg_042,img/Flawless_Knit_Tank/img_00000029.jpg,Tank
dg_043,img/Life_In_Progress_Low-Rise_Skinny_Jeans/img_00000005.jpg,Jeans
dg_044,img/Fuzzy_Popcorn_Knit_Cardigan/img_00000019.jpg,Cardigan
dg_045,img/Belted_Open-Knit_Cardigan/img_00000013.jpg,Cardigan
dg_046,img/Bow-Front_Woven_Top/img_00000017.jpg,Top
dg_047,img/Bleached_Chambray_Bomber_Jacket/img_00000017.jpg,Jacket
dg_048,img/Cute_Guys_French_Fries_Tee/img_00000020.jpg,Tee
dg_049,img/Chiffon-Sleeve_Mesh_Bomber_Jacket/img_00000011.jpg,Jacket
dg_050,img/Zippered_Longline_Sweater/img_00000039.jpg,Sweater
dg_051,img/Abstract_Chevron_Print_Top/img_00000019.jpg,Top
dg_052,img/Marled_Drop-Sleeved_Cardigan/img_00000017.jpg,Cardigan
dg_053,img/Abstract_Geo-Embroidered_Shorts/img_00000017.jpg,Shorts
