prenda,tipo_autor,tipo_gemini,manga_autor,manga_gemini,persona_gemini
w_0000,polo,polo,,corta,False
w_0001,polo,polo,,corta,False
w_0002,polo,polo,,corta,False
w_0003,camisa,camisa,corta,corta,False
w_0004,camisa,camisa,corta,corta,False
w_0005,camisa,camisa,corta,corta,False
w_0006,polo,polo,,corta,False
w_0007,camisa,camisa,,corta,False
w_0008,camiseta,camisa,corta,corta,False
w_0009,sudadera,sudadera,,larga,False
w_0010,sudadera,sudadera,,larga,False
w_0011,camiseta,camiseta,larga,larga,False
w_0012,camiseta,camiseta,larga,larga,False
w_0013,camiseta,camiseta,larga,larga,False
w_0014,camiseta,camiseta,larga,larga,False
w_0015,camiseta,polo,larga,larga,False
w_0016,camiseta,polo,larga,larga,False
w_0017,sudadera,sudadera,,larga,False
w_0018,sudadera,sudadera,,larga,False
w_0019,sudadera,sudadera,,larga,False
w_0020,sudadera,sudadera,,larga,False
w_0021,sudadera,sudadera,,larga,False
w_0022,sudadera,sudadera,,larga,False
w_0023,sudadera,sudadera,,larga,False
w_0024,sudadera,sudadera,,larga,False
w_0025,camiseta,camiseta,corta,corta,False
w_0026,camiseta,camiseta,corta,corta,False
w_0027,camiseta,camiseta,corta,corta,False
w_0028,camiseta,camiseta,corta,corta,False
w_0029,camiseta,camiseta,corta,corta,False
w_0030,camiseta,camiseta,corta,corta,False
w_0031,camiseta,camiseta,corta,larga,False
w_0032,camiseta,sudadera,corta,larga,False
w_0033,sudadera,sudadera,,larga,False
w_0034,sudadera,sudadera,,larga,False
w_0035,camiseta,camiseta,corta,corta,False
w_0036,camiseta,camiseta,corta,corta,False
w_0037,camiseta,camiseta,corta,corta,False
w_0038,camiseta,camiseta,corta,corta,False
w_0039,sudadera,sudadera,corta,corta,False
w_0040,sudadera,sudadera,,larga,False
w_0041,chaleco,sudadera,,sin_manga,False
w_0042,camiseta,camiseta,larga,larga,False
w_0043,camisa,camisa,corta,corta,False
w_0044,camiseta,camiseta,corta,corta,False
w_0045,sudadera,sudadera,,larga,False
w_0046,sudadera,sudadera,,larga,False
w_0047,sudadera,sudadera,,larga,False
w_0048,sudadera,sudadera,,larga,False
w_0049,vaquero,vaquero,,no_aplica,False
w_0050,vaquero,vaquero,,no_aplica,False
w_0051,vaquero,vaquero,,no_aplica,False
w_0052,vaquero,vaquero,,no_aplica,False
w_0053,vaquero,vaquero,,no_aplica,False
w_0054,vaquero,vaquero,,no_aplica,False
w_0055,vaquero,vaquero,,no_aplica,False
w_0056,vaquero,vaquero,,no_aplica,False
w_0057,vaquero,vaquero,,no_aplica,False
w_0058,jogger,jogger,,no_aplica,False
w_0059,jogger,jogger,,no_aplica,False
w_0060,jogger,pantalon,,no_aplica,False
w_0061,jogger,pantalon,,no_aplica,False
w_0062,pantalon,pantalon,,no_aplica,False
w_0063,pantalon,pantalon,,no_aplica,False
w_0064,pantalon,pantalon,,no_aplica,False
w_0065,pantalon,vaquero,,no_aplica,False
w_0066,bermuda,bermuda,,no_aplica,False
w_0067,bermuda,bermuda,,no_aplica,False
w_0068,bermuda,bermuda,,no_aplica,False
w_0069,bermuda,bermuda,,no_aplica,False
w_0070,bermuda,bermuda,,no_aplica,False
w_0071,bermuda,bermuda,,no_aplica,False
w_0072,pantalon,bermuda,,no_aplica,False
w_0073,bermuda,bermuda,,no_aplica,False
w_0074,bermuda,bermuda,,no_aplica,False
w_0075,bermuda,bermuda,,no_aplica,False
w_0076,bermuda,bermuda,,no_aplica,False
w_0077,bermuda,bermuda,,no_aplica,False
w_0078,bermuda,bermuda,,no_aplica,False
w_0079,bermuda,bermuda,,no_aplica,False
w_0080,bermuda,bermuda,,no_aplica,False
w_0081,bermuda,bermuda,,no_aplica,False
w_0082,bermuda,bermuda,,no_aplica,False
w_0083,bermuda,bermuda,,no_aplica,False
w_0084,bermuda,bermuda,,no_aplica,False
w_0085,chaqueta,chaqueta,,larga,False
w_0086,jersey,jersey,,larga,False
w_0087,jersey,jersey,,larga,False
w_0088,jersey,jersey,,larga,False
w_0089,jersey,jersey,,larga,False
w_0090,jersey,jersey,,larga,False
w_0091,jersey,jersey,,larga,False
w_0092,polo,polo,larga,larga,False
w_0093,jersey,sudadera,,larga,False
w_0094,jersey,jersey,,larga,False
w_0095,jersey,jersey,,larga,False
w_0096,cazadora,cazadora,,larga,False
w_0097,camisa,chaqueta,,larga,False
w_0098,camisa,camisa,,larga,False
w_0099,camisa,camisa,,larga,False
w_0100,camisa,camisa,,larga,False
w_0101,camisa,camisa,,larga,False
w_0102,camisa,camisa,,larga,False
w_0103,cazadora,cazadora,,larga,False
w_0104,camisa,camisa,,larga,False
w_0105,camisa,camisa,,larga,False
w_0106,camisa,camisa,,larga,False
w_0107,camisa,camisa,,larga,False
w_0108,blazer,blazer,,larga,False
w_0109,abrigo,abrigo,,larga,False
w_0110,blazer,blazer,,larga,False
w_0111,blazer,blazer,,larga,False
w_0112,blazer,blazer,,larga,False
w_0113,camisa,camisa,,larga,False
w_0114,chino,chino,,no_aplica,False
w_0115,chino,pantalon,,no_aplica,False
w_0116,chino,pantalon,,no_aplica,False
w_0117,jersey,jersey,,larga,False
