consulta,pos,n_galeria,color_modelo,color_producto,franja_objetivo,persona_gemini,pieza_gemini,producto_gemini,pen_objetivo,rango_clip_plano,rango_actual,rango_color_primero,rango_etiquetas,rango_estructura,rango_prioridades,rango_prioridades_ia,n_galeria_estructura
abajo_01,abajo,57,negro,negro,1,True,pantalon/negro/no_aplica/largo,jogger/negro/no_aplica/largo,4.0,3,2,1,9,10,1,2,57
abajo_02,abajo,57,gris claro,blanco,1,True,jogger/gris/no_aplica/largo,jogger/gris claro/no_aplica/largo,1.0,1,2,2,1,1,1,4,57
abajo_03,abajo,57,gris,gris,1,True,vaquero/azul/no_aplica/largo,vaquero/azul claro/no_aplica/largo,1.0,5,4,3,5,4,2,5,57
abajo_04,abajo,57,gris oscuro,gris oscuro,0,True,vaquero/gris oscuro/no_aplica/largo,vaquero/gris oscuro/no_aplica/largo,0.0,2,2,1,1,2,1,1,57
abajo_05,abajo,57,gris claro,gris claro,0,True,vaquero/azul claro/no_aplica/largo,vaquero/azul claro/no_aplica/largo,0.0,7,7,1,3,6,1,3,57
abajo_06,abajo,57,negro,negro,0,True,vaquero/negro/no_aplica/largo,vaquero/negro/no_aplica/largo,0.0,1,1,1,1,1,1,1,57
abajo_07,abajo,57,negro,negro,0,True,vaquero/azul marino/no_aplica/largo,vaquero/azul marino/no_aplica/largo,0.0,1,1,1,1,1,1,1,57
abajo_08,abajo,57,verde oscuro,verde oscuro,0,True,jogger/verde/no_aplica/largo,jogger/verde/no_aplica/largo,1.0,1,1,1,1,1,1,1,57
abajo_09,abajo,57,gris claro,gris claro,0,True,bermuda/azul claro/no_aplica/corto,bermuda/azul claro/no_aplica/corto,0.0,8,1,1,1,1,1,1,57
abajo_10,abajo,57,crudo,crudo,0,True,bermuda/crudo/no_aplica/corto,bermuda/beige/no_aplica/corto,1.0,20,12,1,3,7,1,4,57
arriba_01,arriba,88,negro,negro,1,True,polo/negro/corta/no_aplica,polo/negro/corta/no_aplica,0.0,1,1,9,1,1,4,1,88
arriba_02,arriba,88,blanco,blanco,0,True,camiseta/crudo/larga/no_aplica,camiseta/blanco/larga/no_aplica,1.0,1,3,1,1,3,1,1,88
arriba_03,arriba,88,azul claro,azul,1,True,camiseta/azul/larga/no_aplica,camiseta/azul/larga/no_aplica,0.0,1,1,1,1,1,1,1,88
arriba_04,arriba,88,blanco,gris oscuro,2,True,camiseta/blanco/larga/no_aplica,camiseta/blanco/larga/no_aplica,1.0,1,1,5,2,1,2,1,88
arriba_05,arriba,88,negro,negro,1,True,camiseta/azul marino/larga/no_aplica,camiseta/azul marino/larga/no_aplica,0.0,1,1,3,1,1,2,1,88
arriba_06,arriba,88,rosa palo,rojo,2,True,camiseta/rojo/larga/no_aplica,camiseta/rojo/larga/no_aplica,0.0,1,1,5,1,1,1,1,88
arriba_07,arriba,88,azul marino,azul marino,0,True,camiseta/azul marino/larga/no_aplica,camiseta/azul marino/larga/no_aplica,1.0,1,1,1,1,1,1,1,88
arriba_08,arriba,88,gris claro,gris claro,0,True,camiseta/morado/larga/no_aplica,camiseta/morado/larga/no_aplica,0.0,1,1,1,1,1,1,1,88
arriba_09,arriba,88,caqui,caqui,1,True,camiseta/caqui/larga/no_aplica,camiseta/verde/larga/no_aplica,2.0,1,1,1,1,1,1,2,88
arriba_10,arriba,88,gris claro,gris claro,0,True,camiseta/morado/corta/no_aplica,camiseta/morado/corta/no_aplica,1.0,1,1,1,1,1,1,1,88
encima_01,encima,27,vaquero,vaquero,1,True,sudadera/azul/larga/no_aplica,sudadera/azul/larga/no_aplica,1.0,5,2,1,1,2,1,1,56
encima_02,encima,27,beige,beige,0,True,sudadera/amarillo/larga/no_aplica,sudadera/amarillo/larga/no_aplica,1.0,1,1,1,1,1,1,1,56
encima_03,encima,27,negro,verde oscuro,2,True,,sudadera/azul marino/larga/no_aplica,0.0,13,1,2,1,1,2,1,27
encima_04,encima,27,rosa palo,rosa palo,1,True,sudadera/rosa/larga/no_aplica,sudadera/rosa/larga/no_aplica,0.0,6,1,1,1,1,1,1,56
encima_05,encima,27,gris claro,gris claro,1,True,sudadera/gris claro/larga/no_aplica,sudadera/gris/larga/no_aplica,1.0,1,1,1,1,1,1,2,56
encima_06,encima,27,gris oscuro,gris oscuro,1,True,cazadora/marron/larga/no_aplica,cazadora/caqui/larga/no_aplica,2.0,1,1,2,2,1,1,2,28
encima_07,encima,27,negro,gris oscuro,2,True,cazadora/marron/larga/no_aplica,cazadora/negro/larga/no_aplica,2.0,3,1,2,2,1,1,3,28
encima_08,encima,27,burdeos,rojo,2,True,cazadora/rojo/larga/no_aplica,cazadora/rojo/larga/no_aplica,1.0,1,1,1,1,1,1,1,28
encima_09,encima,27,azul marino,azul marino,0,True,cazadora/azul/larga/no_aplica,cazadora/azul/larga/no_aplica,0.0,1,1,1,1,1,1,1,28
encima_10,encima,27,negro,negro,0,True,cazadora/negro/larga/no_aplica,cazadora/gris oscuro/larga/no_aplica,1.0,2,1,1,1,1,1,5,28
