representacion,nivel,k,p_at_k_catalogo,cat_ic_lo,cat_ic_hi,p_at_k_armario,arm_ic_lo,arm_ic_hi,azar_macro,n_consultas_armario,n_consultas_catalogo,n_indice,etiquetas,caida,caida_relativa
clip_plano,slot,10,0.7054961239637394,0.691243791983682,0.7200707923281056,0.7739529914529913,0.7090122863247864,0.8328285256410255,0.3333333333333333,112,2000,18502,3,-0.06845686748925195,-0.09703365498967709
clip_plano,grupo,10,0.47095465607982623,0.44900120927698717,0.49098384637570774,0.4605332341269841,0.4235564236111112,0.4976420510912698,0.125,112,2000,16582,8,0.010421421952842125,0.022128291584563305
conjunta/conjunta,slot,10,0.7464938551668611,0.7309949752215802,0.762187605055291,0.7692521367521369,0.6918915598290598,0.8386057692307691,0.3333333333333333,112,2000,18502,3,-0.02275828158527582,-0.03048689741751289
conjunta/conjunta,grupo,10,0.5651526493312138,0.5453914343281275,0.585483172407133,0.4633060515873016,0.42071385168650793,0.5048100818452381,0.125,112,2000,16582,8,0.10184659774391219,0.1802107764414352
por_atributo/forma,slot,10,0.7347954661341234,0.7204759296375649,0.7498337113503729,0.8200427350427351,0.7368130341880342,0.8967142094017094,0.3333333333333333,112,2000,18502,3,-0.08524726890861167,-0.11601496312587666
por_atributo/forma,grupo,10,0.5541243766470141,0.5308873959011171,0.5787231208509058,0.5112375992063493,0.46199386160714284,0.5576919642857143,0.125,112,2000,16582,8,0.042886777440664825,0.07739557985189374
por_atributo/tejido,slot,10,0.737646984800159,0.7209150480607025,0.7534777208684632,0.8188034188034189,0.7362670940170941,0.8829326923076922,0.3333333333333333,112,2000,18502,3,-0.08115643400325989,-0.11002069509610554
por_atributo/tejido,grupo,10,0.5487625100958555,0.5258650949255343,0.5719436989519047,0.4737698412698413,0.4341615203373016,0.5122357390873016,0.125,112,2000,16582,8,0.07499266882601424,0.13665778446292703
por_atributo/textura,slot,10,0.6318734794381543,0.616742966174428,0.6474501384553364,0.6792307692307693,0.5879011752136751,0.7682142094017093,0.3333333333333333,112,2000,18502,3,-0.047357289792615,-0.07494742433995472
por_atributo/textura,grupo,10,0.4473570940986281,0.432854129929579,0.46271459644628643,0.36030505952380953,0.31139254712301595,0.4025851314484127,0.125,112,2000,16582,8,0.08705203457481858,0.1945918276991185
