etiqueta,p_at_k,origen,representacion,nivel
camisa,0.1,armario,por_atributo/tejido,grupo
camisa,0.0,armario,por_atributo/tejido,grupo
camisa,0.0,armario,por_atributo/tejido,grupo
camisa,0.0,armario,por_atributo/tejido,grupo
camiseta,0.2,armario,por_atributo/tejido,grupo
sudadera,0.0,armario,por_atributo/tejido,grupo
sudadera,0.2,armario,por_atributo/tejido,grupo
camiseta,0.9,armario,por_atributo/tejido,grupo
camiseta,0.9,armario,por_atributo/tejido,grupo
camiseta,0.8,armario,por_atributo/tejido,grupo
camiseta,0.7,armario,por_atributo/tejido,grupo
camiseta,0.5,armario,por_atributo/tejido,grupo
camiseta,0.5,armario,por_atributo/tejido,grupo
sudadera,0.1,armario,por_atributo/tejido,grupo
sudadera,0.4,armario,por_atributo/tejido,grupo
sudadera,0.4,armario,por_atributo/tejido,grupo
sudadera,0.2,armario,por_atributo/tejido,grupo
sudadera,0.1,armario,por_atributo/tejido,grupo
sudadera,0.1,armario,por_atributo/tejido,grupo
sudadera,0.4,armario,por_atributo/tejido,grupo
sudadera,0.4,armario,por_atributo/tejido,grupo
camiseta,0.9,armario,por_atributo/tejido,grupo
camiseta,1.0,armario,por_atributo/tejido,grupo
camiseta,0.9,armario,por_atributo/tejido,grupo
camiseta,0.8,armario,por_atributo/tejido,grupo
camiseta,0.6,armario,por_atributo/tejido,grupo
camiseta,0.8,armario,por_atributo/tejido,grupo
camiseta,0.5,armario,por_atributo/tejido,grupo
camiseta,0.5,armario,por_atributo/tejido,grupo
sudadera,0.2,armario,por_atributo/tejido,grupo
sudadera,0.7,armario,por_atributo/tejido,grupo
camiseta,1.0,armario,por_atributo/tejido,grupo
camiseta,0.8,armario,por_atributo/tejido,grupo
camiseta,1.0,armario,por_atributo/tejido,grupo
camiseta,1.0,armario,por_atributo/tejido,grupo
sudadera,0.5,armario,por_atributo/tejido,grupo
sudadera,0.7,armario,por_atributo/tejido,grupo
camiseta,0.9,armario,por_atributo/tejido,grupo
camisa,0.0,armario,por_atributo/tejido,grupo
camiseta,0.8,armario,por_atributo/tejido,grupo
sudadera,0.6,armario,por_atributo/tejido,grupo
sudadera,0.2,armario,por_atributo/tejido,grupo
sudadera,0.6,armario,por_atributo/tejido,grupo
sudadera,0.1,armario,por_atributo/tejido,grupo
pantalon_largo,0.7,armario,por_atributo/tejido,grupo
pantalon_largo,0.6,armario,por_atributo/tejido,grupo
pantalon_largo,0.1,armario,por_atributo/tejido,grupo
pantalon_largo,0.5,armario,por_atributo/tejido,grupo
pantalon_largo,0.1,armario,por_atributo/tejido,grupo
pantalon_largo,0.3,armario,por_atributo/tejido,grupo
pantalon_largo,0.6,armario,por_atributo/tejido,grupo
pantalon_largo,0.5,armario,por_atributo/tejido,grupo
pantalon_largo,0.6,armario,por_atributo/tejido,grupo
pantalon_largo,0.4,armario,por_atributo/tejido,grupo
pantalon_largo,0.5,armario,por_atributo/tejido,grupo
pantalon_largo,0.7,armario,por_atributo/tejido,grupo
pantalon_largo,0.1,armario,por_atributo/tejido,grupo
pantalon_largo,1.0,armario,por_atributo/tejido,grupo
pantalon_largo,0.3,armario,por_atributo/tejido,grupo
pantalon_largo,0.1,armario,por_atributo/tejido,grupo
pantalon_largo,0.4,armario,por_atributo/tejido,grupo
pantalon_corto,0.2,armario,por_atributo/tejido,grupo
pantalon_corto,0.8,armario,por_atributo/tejido,grupo
pantalon_corto,0.4,armario,por_atributo/tejido,grupo
pantalon_corto,0.0,armario,por_atributo/tejido,grupo
pantalon_corto,0.5,armario,por_atributo/tejido,grupo
pantalon_corto,1.0,armario,por_atributo/tejido,grupo
pantalon_largo,0.0,armario,por_atributo/tejido,grupo
pantalon_corto,0.9,armario,por_atributo/tejido,grupo
pantalon_corto,1.0,armario,por_atributo/tejido,grupo
pantalon_corto,0.9,armario,por_atributo/tejido,grupo
pantalon_corto,0.7,armario,por_atributo/tejido,grupo
pantalon_corto,1.0,armario,por_atributo/tejido,grupo
pantalon_corto,0.6,armario,por_atributo/tejido,grupo
pantalon_corto,0.7,armario,por_atributo/tejido,grupo
pantalon_corto,0.9,armario,por_atributo/tejido,grupo
pantalon_corto,0.6,armario,por_atributo/tejido,grupo
pantalon_corto,0.3,armario,por_atributo/tejido,grupo
pantalon_corto,1.0,armario,por_atributo/tejido,grupo
pantalon_corto,0.9,armario,por_atributo/tejido,grupo
chaqueta,0.8,armario,por_atributo/tejido,grupo
jersey,0.0,armario,por_atributo/tejido,grupo
jersey,0.7,armario,por_atributo/tejido,grupo
jersey,0.9,armario,por_atributo/tejido,grupo
jersey,0.8,armario,por_atributo/tejido,grupo
jersey,0.8,armario,por_atributo/tejido,grupo
jersey,0.1,armario,por_atributo/tejido,grupo
jersey,0.2,armario,por_atributo/tejido,grupo
jersey,0.9,armario,por_atributo/tejido,grupo
jersey,0.2,armario,por_atributo/tejido,grupo
chaqueta,0.9,armario,por_atributo/tejido,grupo
camisa,0.1,armario,por_atributo/tejido,grupo
camisa,0.5,armario,por_atributo/tejido,grupo
camisa,0.3,armario,por_atributo/tejido,grupo
camisa,0.6,armario,por_atributo/tejido,grupo
camisa,0.6,armario,por_atributo/tejido,grupo
camisa,0.4,armario,por_atributo/tejido,grupo
chaqueta,0.9,armario,por_atributo/tejido,grupo
camisa,0.1,armario,por_atributo/tejido,grupo
camisa,0.1,armario,por_atributo/tejido,grupo
camisa,0.3,armario,por_atributo/tejido,grupo
camisa,0.0,armario,por_atributo/tejido,grupo
chaqueta,1.0,armario,por_atributo/tejido,grupo
abrigo,0.0,armario,por_atributo/tejido,grupo
chaqueta,1.0,armario,por_atributo/tejido,grupo
chaqueta,1.0,armario,por_atributo/tejido,grupo
chaqueta,1.0,armario,por_atributo/tejido,grupo
camisa,0.0,armario,por_atributo/tejido,grupo
pantalon_largo,0.6,armario,por_atributo/tejido,grupo
pantalon_largo,0.3,armario,por_atributo/tejido,grupo
pantalon_largo,0.3,armario,por_atributo/tejido,grupo
jersey,0.1,armario,por_atributo/tejido,grupo
sudadera,0.3,catalogo,por_atributo/tejido,grupo
camiseta,0.9,catalogo,por_atributo/tejido,grupo
pantalon_largo,0.9,catalogo,por_atributo/tejido,grupo
camiseta,0.9,catalogo,por_atributo/tejido,grupo
camiseta,0.4,catalogo,por_atributo/tejido,grupo
sudadera,0.3,catalogo,por_atributo/tejido,grupo
camiseta,0.2,catalogo,por_atributo/tejido,grupo
sudadera,0.3,catalogo,por_atributo/tejido,grupo
