representacion,nivel,k,p_at_k_catalogo,cat_ic_lo,cat_ic_hi,p_at_k_armario,arm_ic_lo,arm_ic_hi,azar_macro,n_consultas_armario,n_consultas_catalogo,n_indice,etiquetas,caida,caida_relativa
clip_plano,slot,10,0.6865693886263506,0.6705988277625936,0.7022366155495111,0.7598717948717949,0.6981971153846154,0.8189332264957264,0.3333333333333333,112,2000,18502,3,-0.07330240624544426,-0.10676620230928674
clip_plano,grupo,10,0.5060158654159905,0.4766214927102326,0.5345608528507072,0.44326636904761907,0.4112529761904762,0.47758990575396826,0.125,112,2000,16582,8,0.06274949636837146,0.12400697420185774
conjunta/conjunta,slot,10,0.7363094402651363,0.719577243926532,0.7525661334759437,0.7515811965811966,0.6695341880341881,0.8218675213675215,0.3333333333333333,112,2000,18502,3,-0.015271756316060259,-0.020740948683967815
conjunta/conjunta,grupo,10,0.572502982291806,0.5553255453341621,0.5878745310103378,0.4452901785714286,0.40242888144841266,0.48749026537698414,0.125,112,2000,16582,8,0.12721280372037735,0.2222046131727166
por_atributo/forma,slot,10,0.716612401976326,0.7006264201893156,0.7334044161615364,0.8599358974358974,0.8030491452991453,0.9067606837606837,0.3333333333333333,112,2000,18502,3,-0.14332349545957135,-0.20000141647605224
por_atributo/forma,grupo,10,0.5611693089021561,0.5331480311907011,0.5893134761535256,0.4934722222222222,0.45254216269841274,0.5316489955357142,0.125,112,2000,16582,8,0.0676970866799339,0.12063576109030827
por_atributo/tejido,slot,10,0.7143267084722781,0.6983017241185754,0.7306972561046927,0.8178418803418803,0.734563034188034,0.883252670940171,0.3333333333333333,112,2000,18502,3,-0.10351517186960224,-0.14491292379503615
por_atributo/tejido,grupo,10,0.5615027379234715,0.5337284113178263,0.590826619087593,0.4749330357142857,0.4344667658730159,0.5165084945436509,0.125,112,2000,16582,8,0.0865697022091858,0.15417503132635588
por_atributo/textura,slot,10,0.6472272139993659,0.6323228323129431,0.6622577693147313,0.6655555555555556,0.5879813034188034,0.7411260683760683,0.3333333333333333,112,2000,18502,3,-0.018328341556189676,-0.02831824923265299
por_atributo/textura,grupo,10,0.44797436675081304,0.4247212082823921,0.47052906833671254,0.3427951388888889,0.29586644345238095,0.3861985987103174,0.125,112,2000,16582,8,0.10517922786192413,0.2347884961025691
