etiqueta,p_at_k,origen,representacion,nivel
camisa,0.4,armario,clip_plano,grupo
camisa,0.0,armario,clip_plano,grupo
camisa,0.0,armario,clip_plano,grupo
camisa,0.0,armario,clip_plano,grupo
camiseta,0.0,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
camiseta,1.0,armario,clip_plano,grupo
camiseta,0.9,armario,clip_plano,grupo
camiseta,0.8,armario,clip_plano,grupo
camiseta,0.7,armario,clip_plano,grupo
camiseta,0.7,armario,clip_plano,grupo
camiseta,0.4,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
sudadera,0.1,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
camiseta,0.9,armario,clip_plano,grupo
camiseta,0.7,armario,clip_plano,grupo
camiseta,1.0,armario,clip_plano,grupo
camiseta,0.9,armario,clip_plano,grupo
camiseta,1.0,armario,clip_plano,grupo
camiseta,1.0,armario,clip_plano,grupo
camiseta,0.9,armario,clip_plano,grupo
camiseta,0.3,armario,clip_plano,grupo
sudadera,0.5,armario,clip_plano,grupo
sudadera,0.6,armario,clip_plano,grupo
camiseta,1.0,armario,clip_plano,grupo
camiseta,0.9,armario,clip_plano,grupo
camiseta,0.9,armario,clip_plano,grupo
camiseta,0.9,armario,clip_plano,grupo
sudadera,0.3,armario,clip_plano,grupo
sudadera,0.0,armario,clip_plano,grupo
camiseta,0.8,armario,clip_plano,grupo
camisa,0.1,armario,clip_plano,grupo
camiseta,1.0,armario,clip_plano,grupo
sudadera,0.4,armario,clip_plano,grupo
sudadera,0.5,armario,clip_plano,grupo
sudadera,0.3,armario,clip_plano,grupo
sudadera,0.2,armario,clip_plano,grupo
pantalon_largo,0.6,armario,clip_plano,grupo
pantalon_largo,0.6,armario,clip_plano,grupo
pantalon_largo,0.1,armario,clip_plano,grupo
pantalon_largo,0.3,armario,clip_plano,grupo
pantalon_largo,0.4,armario,clip_plano,grupo
pantalon_largo,0.5,armario,clip_plano,grupo
pantalon_largo,0.4,armario,clip_plano,grupo
pantalon_largo,0.4,armario,clip_plano,grupo
pantalon_largo,0.2,armario,clip_plano,grupo
pantalon_largo,0.4,armario,clip_plano,grupo
pantalon_largo,0.5,armario,clip_plano,grupo
pantalon_largo,0.4,armario,clip_plano,grupo
pantalon_largo,0.2,armario,clip_plano,grupo
pantalon_largo,0.3,armario,clip_plano,grupo
pantalon_largo,0.4,armario,clip_plano,grupo
pantalon_largo,0.3,armario,clip_plano,grupo
pantalon_largo,0.6,armario,clip_plano,grupo
pantalon_corto,0.5,armario,clip_plano,grupo
pantalon_corto,0.4,armario,clip_plano,grupo
pantalon_corto,0.1,armario,clip_plano,grupo
pantalon_corto,0.3,armario,clip_plano,grupo
pantalon_corto,0.8,armario,clip_plano,grupo
pantalon_corto,0.9,armario,clip_plano,grupo
pantalon_largo,0.1,armario,clip_plano,grupo
pantalon_corto,0.4,armario,clip_plano,grupo
pantalon_corto,0.5,armario,clip_plano,grupo
pantalon_corto,0.5,armario,clip_plano,grupo
pantalon_corto,0.5,armario,clip_plano,grupo
pantalon_corto,0.6,armario,clip_plano,grupo
pantalon_corto,0.7,armario,clip_plano,grupo
pantalon_corto,0.5,armario,clip_plano,grupo
pantalon_corto,0.4,armario,clip_plano,grupo
pantalon_corto,0.8,armario,clip_plano,grupo
pantalon_corto,0.9,armario,clip_plano,grupo
pantalon_corto,0.8,armario,clip_plano,grupo
pantalon_corto,0.6,armario,clip_plano,grupo
chaqueta,0.4,armario,clip_plano,grupo
jersey,0.3,armario,clip_plano,grupo
jersey,0.7,armario,clip_plano,grupo
jersey,0.8,armario,clip_plano,grupo
jersey,0.9,armario,clip_plano,grupo
jersey,0.8,armario,clip_plano,grupo
jersey,0.6,armario,clip_plano,grupo
jersey,0.3,armario,clip_plano,grupo
jersey,0.8,armario,clip_plano,grupo
jersey,0.3,armario,clip_plano,grupo
chaqueta,0.9,armario,clip_plano,grupo
camisa,0.1,armario,clip_plano,grupo
camisa,0.4,armario,clip_plano,grupo
camisa,0.4,armario,clip_plano,grupo
camisa,0.4,armario,clip_plano,grupo
camisa,0.1,armario,clip_plano,grupo
camisa,0.1,armario,clip_plano,grupo
chaqueta,0.7,armario,clip_plano,grupo
camisa,0.3,armario,clip_plano,grupo
camisa,0.1,armario,clip_plano,grupo
camisa,0.6,armario,clip_plano,grupo
camisa,0.1,armario,clip_plano,grupo
chaqueta,0.8,armario,clip_plano,grupo
abrigo,0.1,armario,clip_plano,grupo
chaqueta,0.8,armario,clip_plano,grupo
chaqueta,0.9,armario,clip_plano,grupo
chaqueta,1.0,armario,clip_plano,grupo
camisa,0.0,armario,clip_plano,grupo
pantalon_largo,0.2,armario,clip_plano,grupo
pantalon_largo,0.4,armario,clip_plano,grupo
pantalon_largo,0.3,armario,clip_plano,grupo
jersey,0.8,armario,clip_plano,grupo
sudadera,0.2,catalogo,clip_plano,grupo
camiseta,0.9,catalogo,clip_plano,grupo
pantalon_largo,0.8,catalogo,clip_plano,grupo
camiseta,0.9,catalogo,clip_plano,grupo
camiseta,0.6,catalogo,clip_plano,grupo
sudadera,0.4,catalogo,clip_plano,grupo
camiseta,0.3,catalogo,clip_plano,grupo
sudadera,0.4,catalogo,clip_plano,grupo
pantalon_largo,0.4,catalogo,clip_plano,grupo
jersey,0.6,catalogo,clip_plano,grupo
pantalon_corto,0.8,catalogo,clip_plano,grupo
pantalon_corto,0.8,catalogo,clip_plano,grupo
jersey,0.6,catalogo,clip_plano,grupo
jersey,0.0,catalogo,clip_plano,grupo
chaqueta,0.6,catalogo,clip_plano,grupo
pantalon_corto,1.0,catalogo,clip_plano,grupo
pantalon_largo,0.5,catalogo,clip_plano,grupo
camiseta,0.8,catalogo,clip_plano,grupo
chaqueta,0.3,catalogo,clip_plano,grupo
pantalon_corto,0.1,catalogo,clip_plano,grupo
camiseta,0.8,catalogo,clip_plano,grupo
camiseta,0.4,catalogo,clip_plano,grupo
jersey,1.0,catalogo,clip_plano,grupo
jersey,0.3,catalogo,clip_plano,grupo
pantalon_largo,0.7,catalogo,clip_plano,grupo
chaqueta,0.2,catalogo,clip_plano,grupo
chaqueta,0.2,catalogo,clip_plano,grupo
chaqueta,0.9,catalogo,clip_plano,grupo
pantalon_corto,1.0,catalogo,clip_plano,grupo
pantalon_corto,1.0,catalogo,clip_plano,grupo
chaqueta,0.4,catalogo,clip_plano,grupo
