representacion,nivel,k,p_at_k_catalogo,cat_ic_lo,cat_ic_hi,p_at_k_armario,arm_ic_lo,arm_ic_hi,azar_macro,n_consultas_armario,n_consultas_catalogo,n_indice,etiquetas,caida,caida_relativa
clip_plano,slot,10,0.6865693886263506,0.6705988277625936,0.7022366155495111,0.7749358974358974,0.726238782051282,0.824551282051282,0.3333333333333333,112,2000,18502,3,-0.08836650880954677,-0.12870732408612842
clip_plano,grupo,10,0.5060158654159905,0.4766214927102326,0.5345608528507072,0.44929811507936507,0.4136065848214286,0.486129650297619,0.125,112,2000,16582,8,0.05671775033662546,0.11208690124764838
conjunta/conjunta,slot,10,0.7363094402651363,0.719577243926532,0.7525661334759437,0.7859829059829061,0.7315074786324787,0.8417580128205129,0.3333333333333333,112,2000,18502,3,-0.04967346571776976,-0.06746275818476934
conjunta/conjunta,grupo,10,0.572502982291806,0.5553255453341621,0.5878745310103378,0.4573784722222222,0.414886470734127,0.49992671130952376,0.125,112,2000,16582,8,0.11512451006958374,0.20108979975741775
por_atributo/forma,slot,10,0.716612401976326,0.7006264201893156,0.7334044161615364,0.8458333333333333,0.7715806623931625,0.9077120726495727,0.3333333333333333,112,2000,18502,3,-0.1292209313570073,-0.1803219299591137
por_atributo/forma,grupo,10,0.5611693089021561,0.5331480311907011,0.5893134761535256,0.5091393849206349,0.457671130952381,0.5560324280753969,0.125,112,2000,16582,8,0.052029923981521176,0.09271698069751881
por_atributo/tejido,slot,10,0.7143267084722781,0.6983017241185754,0.7306972561046927,0.8289743589743589,0.7450619658119658,0.8912318376068377,0.3333333333333333,112,2000,18502,3,-0.11464765050208081,-0.1604974994527033
por_atributo/tejido,grupo,10,0.5615027379234715,0.5337284113178263,0.590826619087593,0.4933531746031746,0.45404718501984126,0.5339158606150793,0.125,112,2000,16582,8,0.06814956332029687,0.12136995729054686
por_atributo/textura,slot,10,0.6472272139993659,0.6323228323129431,0.6622577693147313,0.7020299145299145,0.6221981837606838,0.7793162393162394,0.3333333333333333,112,2000,18502,3,-0.05480270053054859,-0.08467304733975892
por_atributo/textura,grupo,10,0.44797436675081304,0.4247212082823921,0.47052906833671254,0.38473214285714286,0.3359426463293651,0.4255688864087301,0.125,112,2000,16582,8,0.06324222389367018,0.14117375588333347
